distance_type,walk_window,num_of_steps,num_of_walks,embedding,embedding_window,category_percentage,proximity_percentage
center_distance,50,5,10,cbow,50,0.3980096716721812,0.006485110715194706
center_distance,50,5,10,cbow,100,0.3997556630185798,0.007228302367014507
center_distance,50,5,10,cbow,150,0.398605243064393,0.007849325528124205
center_distance,50,5,10,skip_gram,50,0.45336726902519725,0.13824382794604226
center_distance,50,5,10,skip_gram,100,0.47096971239501145,0.22280478493255282
center_distance,50,5,10,skip_gram,150,0.4807431916518198,0.2741664545685925
center_distance,50,10,5,cbow,50,0.394512039912437,0.007203583973934735
center_distance,50,10,5,cbow,100,0.39812655907957034,0.008623937280456143
center_distance,50,10,5,cbow,150,0.3954945782212493,0.009581021228936518
center_distance,50,10,5,skip_gram,50,0.5337779361604643,0.2287277910706104
center_distance,50,10,5,skip_gram,100,0.5345262943542228,0.2408847935651377
center_distance,50,10,5,skip_gram,150,0.5352644708038486,0.23840044799674184
center_distance,50,15,3,cbow,50,0.39377800407331975,0.006634419551934827
center_distance,50,15,3,cbow,100,0.397581466395112,0.007286150712830957
center_distance,50,15,3,cbow,150,0.3979837067209776,0.007922606924643584
center_distance,50,15,3,skip_gram,50,0.527734215885947,0.19686863543788188
center_distance,50,15,3,skip_gram,100,0.5261354378818738,0.19718431771894093
center_distance,50,15,3,skip_gram,150,0.5243279022403259,0.18818737270875763
center_distance,70,5,10,cbow,50,0.3937875547408086,0.00873816070882982
center_distance,70,5,10,cbow,100,0.3985894693960688,0.009104796822487014
center_distance,70,5,10,cbow,150,0.39566656482330176,0.010011202770139525
center_distance,70,5,10,skip_gram,50,0.45822894388430596,0.12511457378551788
center_distance,70,5,10,skip_gram,100,0.47435074854873205,0.1996690090640595
center_distance,70,5,10,skip_gram,150,0.48774315103371013,0.2462114268255423
center_distance,70,10,5,cbow,50,0.39788155013494936,0.009634872943932372
center_distance,70,10,5,cbow,100,0.4043132861435046,0.010627896318174873
center_distance,70,10,5,cbow,150,0.4069206090543362,0.011620919692417376
center_distance,70,10,5,skip_gram,50,0.5380251565921474,0.25488618424402915
center_distance,70,10,5,skip_gram,100,0.5415593013189387,0.2670723633956307
center_distance,70,10,5,skip_gram,150,0.5422213169017671,0.26583999592605795
center_distance,70,15,3,cbow,50,0.39267162354858426,0.008703401914850275
center_distance,70,15,3,cbow,100,0.3938633122835608,0.009426563454878793
center_distance,70,15,3,cbow,150,0.38978407007537175,0.010338154410266857
center_distance,70,15,3,skip_gram,50,0.5263190059075168,0.22018231819107761
center_distance,70,15,3,skip_gram,100,0.5269657771440212,0.2218170706864942
center_distance,70,15,3,skip_gram,150,0.5252953758402933,0.21747810144632307
polygon_distance,10,5,10,cbow,50,0.3960301302931596,0.01025040716612378
polygon_distance,10,5,10,cbow,100,0.39525651465798045,0.014087947882736157
polygon_distance,10,5,10,cbow,150,0.39375508957654726,0.017538680781758957
polygon_distance,10,5,10,skip_gram,50,0.4401618485342019,0.3708927117263844
polygon_distance,10,5,10,skip_gram,100,0.44725671824104235,0.46578277687296415
polygon_distance,10,5,10,skip_gram,150,0.4483255293159609,0.48775956840390877
polygon_distance,10,10,5,cbow,50,0.3961777280130293,0.013777483713355049
polygon_distance,10,10,5,cbow,100,0.3937449104234528,0.021747760586319217
polygon_distance,10,10,5,cbow,150,0.3940451954397394,0.028399837133550487
polygon_distance,10,10,5,skip_gram,50,0.4699409609120521,0.41753868078175893
polygon_distance,10,10,5,skip_gram,100,0.47230761400651466,0.43990228013029314
polygon_distance,10,10,5,skip_gram,150,0.47340187296416936,0.4403959690553746
polygon_distance,10,15,3,cbow,50,0.39148004885993487,0.011095276872964169
polygon_distance,10,15,3,cbow,100,0.3933021172638437,0.015049877850162867
polygon_distance,10,15,3,cbow,150,0.3906148208469055,0.019208061889250814
polygon_distance,10,15,3,skip_gram,50,0.47043464983713357,0.4037306596091205
polygon_distance,10,15,3,skip_gram,100,0.47551404723127033,0.41742671009771987
polygon_distance,10,15,3,skip_gram,150,0.4765116042345277,0.4095022394136808
polygon_distance,30,5,10,cbow,50,0.39314364247175,0.009289422783263768
polygon_distance,30,5,10,cbow,100,0.3962486002239642,0.011233838949404459
polygon_distance,30,5,10,cbow,150,0.3871118802809732,0.012409650819505243
polygon_distance,30,5,10,skip_gram,50,0.4492822966507177,0.24527639214089383
polygon_distance,30,5,10,skip_gram,100,0.46469001323424614,0.3706810546676168
polygon_distance,30,5,10,skip_gram,150,0.4686501068919882,0.42786317825511555
polygon_distance,30,10,5,cbow,50,0.3949867671009772,0.010769543973941368
polygon_distance,30,10,5,cbow,100,0.39357695439739415,0.013853827361563518
polygon_distance,30,10,5,cbow,150,0.39320541530944625,0.016118688925081434
polygon_distance,30,10,5,skip_gram,50,0.5214932817589577,0.36482084690553745
polygon_distance,30,10,5,skip_gram,100,0.5226486156351792,0.3798961726384365
polygon_distance,30,10,5,skip_gram,150,0.5206738599348534,0.3856270358306189
polygon_distance,30,15,3,cbow,50,0.3905152224824356,0.009948070461256491
polygon_distance,30,15,3,cbow,100,0.39005702066999287,0.011668872823541392
polygon_distance,30,15,3,cbow,150,0.3885245901639344,0.012972202423378475
polygon_distance,30,15,3,skip_gram,50,0.5112870379798391,0.325216373078098
polygon_distance,30,15,3,skip_gram,100,0.512615823235923,0.32700336014662457
polygon_distance,30,15,3,skip_gram,150,0.5110273902861215,0.3212860197535892
